caseNumber,caseLabel,profileIndex,velocityProfile,observedDepth_m,wavelength_m,initialPlanarVelocity_mps,nAdmissibleRoots,shallowOrSoleRoot_m,selectedDeepOrSoleRoot_m,allRoots_m
3,R3,14,power,2.51157607089681,3.55958092325878,2.52002005267792,0,NaN,NaN,
3,R3,15,power,2.52275884598657,5.80528168648854,2.70622574806907,0,NaN,NaN,
3,R3,16,power,2.51734218949332,5.3256590576303,2.73391098181535,0,NaN,NaN,
3,R3,17,power,2.51009350181175,NaN,2.77879019963899,0,NaN,NaN,
3,R3,18,power,2.49842649164475,NaN,2.4816779111552,0,NaN,NaN,
3,R3,19,power,2.4581365681388,NaN,2.79868640147171,0,NaN,NaN,
3,R3,20,power,2.38843059807914,3.72481870942972,2.39160095136535,0,NaN,NaN,
3,R3,21,power,2.31872462801584,4.52284552216359,2.26063514809263,0,NaN,NaN,
4,R4,1,uniform,1.57681150426561,NaN,1.07823832407195,0,NaN,NaN,
4,R4,2,uniform,1.60785476345791,3.4099527331522,1.35661589860069,1,0.195656800752058,0.195656800752058,0.195656800752058
4,R4,3,uniform,1.7598546981626,NaN,1.41708228171936,0,NaN,NaN,
4,R4,4,uniform,1.82796201493147,4.62229128295024,1.87867528231462,1,0.393435017231607,0.393435017231607,0.393435017231607
4,R4,5,uniform,1.77162889011106,NaN,1.9897415935429,0,NaN,NaN,
4,R4,6,uniform,1.71529581786035,3.78978469356428,2.13209070255734,1,0.612829847686003,0.612829847686003,0.612829847686003
4,R4,7,uniform,1.87594129821446,NaN,2.11113541092739,0,NaN,NaN,
4,R4,8,uniform,2.2554532053191,NaN,2.1493190125486,0,NaN,NaN,
4,R4,9,uniform,2.22982820953712,4.72467997891833,2.2646476230536,1,0.645197401489546,0.645197401489546,0.645197401489546
4,R4,10,uniform,2.24898765763828,NaN,2.48036063099237,0,NaN,NaN,
4,R4,11,uniform,2.29767163671841,NaN,2.54909973892396,0,NaN,NaN,
4,R4,12,uniform,2.34635648169569,2.92465691618352,2.49353107228576,0,NaN,NaN,
4,R4,13,uniform,2.39504046080037,2.68855503842719,2.41364866425836,0,NaN,NaN,
4,R4,14,uniform,2.40029851089821,3.28452344251353,2.34760050998882,0,NaN,NaN,
4,R4,15,uniform,2.39488237908154,3.42203859162949,2.5477623428444,0,NaN,NaN,
4,R4,16,uniform,2.38694875111378,3.09819836810596,2.44598535423626,0,NaN,NaN,
4,R4,17,uniform,2.37528175611715,3.06526953688571,2.46698505778519,0,NaN,NaN,
4,R4,18,uniform,2.32863608739171,2.876018900698,2.53011445396506,0,NaN,NaN,
4,R4,19,uniform,2.25892999802363,2.98022584431102,2.50702065821032,0,NaN,NaN,
4,R4,20,uniform,2.18922402796306,3.00360336251917,2.3751610193121,0,NaN,NaN,
4,R4,21,uniform,2.10101518253487,3.5106995286046,2.40630671792236,0,NaN,NaN,
4,R4,1,linear,1.57681150426561,NaN,1.07823832407195,0,NaN,NaN,
4,R4,2,linear,1.60785476345791,3.4099527331522,1.35661589860069,0,NaN,NaN,
4,R4,3,linear,1.7598546981626,NaN,1.41708228171936,0,NaN,NaN,
4,R4,4,linear,1.82796201493147,4.62229128295024,1.87867528231462,0,NaN,NaN,
4,R4,5,linear,1.77162889011106,NaN,1.9897415935429,0,NaN,NaN,
4,R4,6,linear,1.71529581786035,3.78978469356428,2.13209070255734,0,NaN,NaN,
4,R4,7,linear,1.87594129821446,NaN,2.11113541092739,0,NaN,NaN,
4,R4,8,linear,2.2554532053191,NaN,2.1493190125486,0,NaN,NaN,
4,R4,9,linear,2.22982820953712,4.72467997891833,2.2646476230536,0,NaN,NaN,
4,R4,10,linear,2.24898765763828,NaN,2.48036063099237,0,NaN,NaN,
4,R4,11,linear,2.29767163671841,NaN,2.54909973892396,0,NaN,NaN,
4,R4,12,linear,2.34635648169569,2.92465691618352,2.49353107228576,0,NaN,NaN,
4,R4,13,linear,2.39504046080037,2.68855503842719,2.41364866425836,0,NaN,NaN,
4,R4,14,linear,2.40029851089821,3.28452344251353,2.34760050998882,2,0.677040447728178,2.24502899224351,0.677040447728178;2.24502899224351
4,R4,15,linear,2.39488237908154,3.42203859162949,2.5477623428444,0,NaN,NaN,
4,R4,16,linear,2.38694875111378,3.09819836810596,2.44598535423626,0,NaN,NaN,
4,R4,17,linear,2.37528175611715,3.06526953688571,2.46698505778519,0,NaN,NaN,
4,R4,18,linear,2.32863608739171,2.876018900698,2.53011445396506,0,NaN,NaN,
4,R4,19,linear,2.25892999802363,2.98022584431102,2.50702065821032,0,NaN,NaN,
4,R4,20,linear,2.18922402796306,3.00360336251917,2.3751610193121,0,NaN,NaN,
4,R4,21,linear,2.10101518253487,3.5106995286046,2.40630671792236,2,0.677620332470386,3.14062181652905,0.677620332470386;3.14062181652905
4,R4,1,power,1.57681150426561,NaN,1.07823832407195,0,NaN,NaN,
4,R4,2,power,1.60785476345791,3.4099527331522,1.35661589860069,0,NaN,NaN,
4,R4,3,power,1.7598546981626,NaN,1.41708228171936,0,NaN,NaN,
4,R4,4,power,1.82796201493147,4.62229128295024,1.87867528231462,0,NaN,NaN,
4,R4,5,power,1.77162889011106,NaN,1.9897415935429,0,NaN,NaN,
4,R4,6,power,1.71529581786035,3.78978469356428,2.13209070255734,0,NaN,NaN,
4,R4,7,power,1.87594129821446,NaN,2.11113541092739,0,NaN,NaN,
4,R4,8,power,2.2554532053191,NaN,2.1493190125486,0,NaN,NaN,
4,R4,9,power,2.22982820953712,4.72467997891833,2.2646476230536,0,NaN,NaN,
4,R4,10,power,2.24898765763828,NaN,2.48036063099237,0,NaN,NaN,
4,R4,11,power,2.29767163671841,NaN,2.54909973892396,0,NaN,NaN,
4,R4,12,power,2.34635648169569,2.92465691618352,2.49353107228576,0,NaN,NaN,
4,R4,13,power,2.39504046080037,2.68855503842719,2.41364866425836,0,NaN,NaN,
4,R4,14,power,2.40029851089821,3.28452344251353,2.34760050998882,2,0.686849165092074,1.54345221813499,0.686849165092074;1.54345221813499
4,R4,15,power,2.39488237908154,3.42203859162949,2.5477623428444,0,NaN,NaN,
4,R4,16,power,2.38694875111378,3.09819836810596,2.44598535423626,0,NaN,NaN,
4,R4,17,power,2.37528175611715,3.06526953688571,2.46698505778519,0,NaN,NaN,
4,R4,18,power,2.32863608739171,2.876018900698,2.53011445396506,0,NaN,NaN,
4,R4,19,power,2.25892999802363,2.98022584431102,2.50702065821032,0,NaN,NaN,
4,R4,20,power,2.18922402796306,3.00360336251917,2.3751610193121,0,NaN,NaN,
4,R4,21,power,2.10101518253487,3.5106995286046,2.40630671792236,2,0.671284518542368,2.1174402708388,0.671284518542368;2.1174402708388
5,R5,1,uniform,1.52250390872359,NaN,0.624837624806102,0,NaN,NaN,
5,R5,2,uniform,1.53419777380714,NaN,1.56110305850425,0,NaN,NaN,
5,R5,3,uniform,1.68619781563757,3.74253100363458,1.56653275434209,1,0.26664055252104,0.26664055252104,0.26664055252104
5,R5,4,uniform,1.77421216742277,NaN,1.78614937743216,0,NaN,NaN,
5,R5,5,uniform,1.71787854815648,NaN,1.8817020564275,0,NaN,NaN,
5,R5,6,uniform,1.66154521583121,3.48279888728093,2.08677717018377,1,0.610199484532716,0.610199484532716,0.610199484532716
5,R5,7,uniform,1.77070409198859,3.7383691075253,2.15097598588866,1,0.641725318407377,0.641725318407377,0.641725318407377
5,R5,8,uniform,2.19876843944803,3.62223398174553,2.26994422490364,1,0.884239479569045,0.884239479569045,0.884239479569045
5,R5,9,uniform,2.1731434504436,3.95355554167957,2.2339206425839,1,0.706309445719699,0.706309445719699,0.706309445719699
5,R5,10,uniform,2.18520289456774,4.21299425162799,2.32539971359243,1,0.779923901401127,0.779923901401127,0.779923901401127
5,R5,11,uniform,2.23388723016888,4.48578972464875,2.1861040068803,1,0.595059216299177,0.595059216299177,0.595059216299177
5,R5,12,uniform,2.28257124356969,4.50369931070567,2.18366608557733,1,0.591785121966286,0.591785121966286,0.591785121966286
